date,regime,prob_0,prob_1,prob_2,prob_3,prob_4,confidence
2022-05-03,3,0.24071105670434653,4.822418700780384e-05,1.3740010190365523e-09,0.7592375745853257,3.1431493188505333e-06,0.7592375745853257
2022-05-04,3,0.08661989227937592,1.2382708689334965e-05,1.837888962592793e-08,0.9133429902639076,2.471636913787128e-05,0.9133429902639076
2022-05-05,3,0.024294308219614685,1.846148792797512e-05,1.100136338903659e-07,0.9756694549455494,1.7665333274621792e-05,0.9756694549455494
2022-05-06,3,0.014572593700571028,1.974911305669775e-05,1.6280213547166753e-07,0.9853954219070256,1.2072477211654647e-05,0.9853954219070256
2022-05-09,3,0.012074922244715382,1.096937247514687e-05,6.62392368573851e-11,0.9878991604226839,1.4947893886227598e-05,0.9878991604226839
2022-05-10,3,0.011115775784753564,1.5173053890116488e-06,2.4927694612677176e-10,0.9888753644476093,7.342212971815614e-06,0.9888753644476093
2022-05-11,3,0.06326790151136581,4.583206450343351e-06,5.709092200151676e-08,0.9367185887117361,8.869479525952769e-06,0.9367185887117361
2022-05-12,3,0.056239162320474614,2.1559456110781853e-06,5.2121043422806353e-08,0.9437521053382264,6.5242746448138245e-06,0.9437521053382264
2022-05-13,3,0.01705619977497345,8.933280350770043e-06,3.250130883233951e-08,0.9829083291793538,2.6505264012682492e-05,0.9829083291793538
2022-05-16,3,0.016075791088309574,3.5857956792078027e-06,6.430909015328628e-07,0.9838990675429354,2.091248217457905e-05,0.9838990675429354
2022-05-17,3,0.034287725351505316,2.040997226972398e-05,4.498181350140603e-06,0.9656690317652884,1.833472958722838e-05,0.9656690317652884
2022-05-18,3,0.05963259117747521,1.6506232202693967e-05,2.603497812011943e-06,0.9403245357117274,2.3763380782720326e-05,0.9403245357117274
2022-05-19,3,0.20033877731889213,1.9179631724360584e-05,0.00016092747757363125,0.7994507630003416,3.0352571467666252e-05,0.7994507630003416
2022-05-20,3,0.09143939162895767,2.647582492284133e-06,9.698590054929462e-05,0.9084432326678482,1.7742220152174418e-05,0.9084432326678482
2022-05-23,3,0.11356201838287915,1.1924648770710616e-05,4.146775299042729e-07,0.88640726114952,1.8381141299617673e-05,0.88640726114952
2022-05-24,3,0.47631748148804676,1.5220087066349376e-05,8.836025269463914e-07,0.5236487604593276,1.765436303174616e-05,0.5236487604593276
2022-05-25,3,0.4283225662109069,1.1339196595432482e-05,7.264359121072234e-07,0.5716410150804487,2.4353076136080214e-05,0.5716410150804487
2022-05-26,0,0.5224030598143374,2.141025216573444e-05,4.88517893901802e-06,0.47754830752425476,2.233723030253797e-05,0.5224030598143374
2022-05-27,0,0.6181832408117809,9.938271944519543e-06,9.220245579512636e-06,0.3817560500282474,4.155064244706878e-05,0.6181832408117809
2022-05-31,0,0.8485798287299143,5.729601577778358e-05,2.1511601275662616e-06,0.15134643472838463,1.4289365795092841e-05,0.8485798287299143
2022-06-01,0,0.6407817477954472,0.00010344730771675477,1.050177394740471e-05,0.35908526741026825,1.9035712620849717e-05,0.6407817477954472
2022-06-02,0,0.9603861003908426,5.221311111722618e-05,4.179203505859559e-05,0.03951853623356218,1.3582294194284569e-06,0.9603861003908426
2022-06-03,0,0.9819441567546701,9.957507370921932e-05,4.4487119420284726e-05,0.017910133673122018,1.6473790782361547e-06,0.9819441567546701
2022-06-06,0,0.9823384810140645,0.0003873385327327189,3.281507587630512e-05,0.017239930296801015,1.4350805253148021e-06,0.9823384810140645
2022-06-07,0,0.9314962177075652,0.00028034067669596366,0.0011533840712050355,0.06706869457204165,1.3629724929093118e-06,0.9314962177075652
2022-06-08,0,0.8804304280755578,0.0005797336540642553,0.00035199777526491465,0.11862424192764742,1.3598567466018334e-05,0.8804304280755578
